# binIndex1	binCenter1	binIndex2	binCenter2	count
1	1.40268e-07	33	2.10164	0
1	1.40268e-07	34	2.82871	0
1	1.40268e-07	35	3.80733	0
1	1.40268e-07	36	5.12451	0
1	1.40268e-07	37	6.89737	0
1	1.40268e-07	38	9.28357	0
1	1.40268e-07	39	12.4953	0
2	1.75764e-07	0	0.000116015	2.66274e+10
2	1.75764e-07	1	0.000156152	2.36327e+10
2	1.75764e-07	2	0.000210174	2.26187e+10
2	1.75764e-07	3	0.000282885	2.14302e+10
2	1.75764e-07	4	0.000380752	2.01558e+10
2	1.75764e-07	5	0.000512476	2.00047e+10
2	1.75764e-07	6	0.000689771	1.93134e+10
2	1.75764e-07	7	0.000928403	1.00548e+10
2	1.75764e-07	8	0.00124959	5.36735e+09
2	1.75764e-07	9	0.0016819	3.59343e+09
2	1.75764e-07	10	0.00226377	2.00875e+09
2	1.75764e-07	11	0.00304693	1.11859e+09
2	1.75764e-07	12	0.00410104	5.63281e+08
2	1.75764e-07	13	0.00551983	2.7397e+08
2	1.75764e-07	14	0.00742947	1.30713e+08
2	1.75764e-07	15	0.00999975	4.67231e+07
2	1.75764e-07	16	0.0134592	1.29487e+07
2	1.75764e-07	17	0.0181156	3.56883e+06
2	1.75764e-07	18	0.0243828	345696
2	1.75764e-07	19	0.0328183	37261.2
2	1.75764e-07	20	0.044172	37515
2	1.75764e-07	21	0.0594537	0
2	1.75764e-07	22	0.0800221	0
2	1.75764e-07	23	0.107706	0
2	1.75764e-07	24	0.144968	0
2	1.75764e-07	25	0.195121	0
2	1.75764e-07	26	0.262625	0
2	1.75764e-07	27	0.353483	0
2	1.75764e-07	28	0.475773	0
2	1.75764e-07	29	0.64037	0
2	1.75764e-07	30	0.861911	0
2	1.75764e-07	31	1.1601	0
2	1.75764e-07	32	1.56144	0
2	1.75764e-07	33	2.10164	0
2	1.75764e-07	34	2.82871	0
2	1.75764e-07	35	3.80733	0
2	1.75764e-07	36	5.12451	0
2	1.75764e-07	37	6.89737	0
2	1.75764e-07	38	9.28357	0
2	1.75764e-07	39	12.4953	0
3	2.20244e-07	0	0.000116015	1.79881e+10
3	2.20244e-07	1	0.000156152	1.70421e+10
3	2.20244e-07	2	0.000210174	1.594e+10
3	2.20244e-07	3	0.000282885	1.4438e+10
3	2.20244e-07	4	0.000380752	1.40684e+10
3	2.20244e-07	5	0.000512476	1.28732e+10
3	2.20244e-07	6	0.000689771	1.28064e+10
3	2.20244e-07	7	0.000928403	1.09473e+10
3	2.20244e-07	8	0.00124959	4.95155e+09
3	2.20244e-07	9	0.0016819	3.0575e+09
3	2.20244e-07	10	0.00226377	1.88268e+09
3	2.20244e-07	11	0.00304693	1.0038e+09
3	2.20244e-07	12	0.00410104	5.86423e+08
3	2.20244e-07	13	0.00551983	2.52182e+08
3	2.20244e-07	14	0.00742947	1.20768e+08
3	2.20244e-07	15	0.00999975	5.42718e+07
3	2.20244e-07	16	0.0134592	1.84355e+07
3	2.20244e-07	17	0.0181156	3.30781e+06
3	2.20244e-07	18	0.0243828	609129
3	2.20244e-07	19	0.0328183	143911
3	2.20244e-07	20	0.044172	82963.6
3	2.20244e-07	21	0.0594537	0
3	2.20244e-07	22	0.0800221	0
3	2.20244e-07	23	0.107706	0
3	2.20244e-07	24	0.144968	0
3	2.20244e-07	25	0.195121	0
3	2.20244e-07	26	0.262625	0
3	2.20244e-07	27	0.353483	0
3	2.20244e-07	28	0.475773	0
3	2.20244e-07	29	0.64037	0
3	2.20244e-07	30	0.861911	0
3	2.20244e-07	31	1.1601	0
3	2.20244e-07	32	1.56144	0
3	2.20244e-07	33	2.10164	0
3	2.20244e-07	34	2.82871	0
3	2.20244e-07	35	3.80733	0
3	2.20244e-07	36	5.12451	0
3	2.20244e-07	37	6.89737	0
3	2.20244e-07	38	9.28357	0
3	2.20244e-07	39	12.4953	0
4	2.75979e-07	0	0.000116015	1.19442e+10
4	2.75979e-07	1	0.000156152	1.13107e+10
4	2.75979e-07	2	0.000210174	1.06511e+10
4	2.75979e-07	3	0.000282885	1.02306e+10
4	2.75979e-07	4	0.000380752	9.72501e+09
4	2.75979e-07	5	0.000512476	8.66863e+09
4	2.75979e-07	6	0.000689771	8.29274e+09
4	2.75979e-07	7	0.000928403	8.28431e+09
4	2.75979e-07	8	0.00124959	6.01341e+09
4	2.75979e-07	9	0.0016819	2.5867e+09
4	2.75979e-07	10	0.00226377	1.63511e+09
4	2.75979e-07	11	0.00304693	9.42175e+08
4	2.75979e-07	12	0.00410104	5.17689e+08
4	2.75979e-07	13	0.00551983	2.87253e+08
4	2.75979e-07	14	0.00742947	1.1626e+08
4	2.75979e-07	15	0.00999975	5.19384e+07
4	2.75979e-07	16	0.0134592	1.9625e+07
4	2.75979e-07	17	0.0181156	5.17697e+06
4	2.75979e-07	18	0.0243828	624433
4	2.75979e-07	19	0.0328183	189144
4	2.75979e-07	20	0.044172	9114.98
4	2.75979e-07	21	0.0594537	0
4	2.75979e-07	22	0.0800221	0
4	2.75979e-07	23	0.107706	0
4	2.75979e-07	24	0.144968	0
4	2.75979e-07	25	0.195121	0
4	2.75979e-07	26	0.262625	0
4	2.75979e-07	27	0.353483	0
4	2.75979e-07	28	0.475773	0
4	2.75979e-07	29	0.64037	0
4	2.75979e-07	30	0.861911	0
4	2.75979e-07	31	1.1601	0
4	2.75979e-07	32	1.56144	0
4	2.75979e-07	33	2.10164	0
4	2.75979e-07	34	2.82871	0
4	2.75979e-07	35	3.80733	0
4	2.75979e-07	36	5.12451	0
4	2.75979e-07	37	6.89737	0
4	2.75979e-07	38	9.28357	0
4	2.75979e-07	39	12.4953	0
5	3.45818e-07	0	0.000116015	8.07626e+09
5	3.45818e-07	1	0.000156152	7.69827e+09
5	3.45818e-07	2	0.000210174	7.83533e+09
5	3.45818e-07	3	0.000282885	7.05758e+09
5	3.45818e-07	4	0.000380752	6.53032e+09
5	3.45818e-07	5	0.000512476	6.34e+09
5	3.45818e-07	6	0.000689771	5.74645e+09
5	3.45818e-07	7	0.000928403	5.22119e+09
5	3.45818e-07	8	0.00124959	5.17709e+09
5	3.45818e-07	9	0.0016819	2.95883e+09
5	3.45818e-07	10	0.00226377	1.33409e+09
5	3.45818e-07	11	0.00304693	8.99411e+08
5	3.45818e-07	12	0.00410104	4.49829e+08
5	3.45818e-07	13	0.00551983	2.84115e+08
5	3.45818e-07	14	0.00742947	1.33599e+08
5	3.45818e-07	15	0.00999975	5.47986e+07
5	3.45818e-07	16	0.0134592	1.98262e+07
5	3.45818e-07	17	0.0181156	5.8086e+06
5	3.45818e-07	18	0.0243828	1.15605e+06
5	3.45818e-07	19	0.0328183	113387
5	3.45818e-07	20	0.044172	21208.8
5	3.45818e-07	21	0.0594537	0
5	3.45818e-07	22	0.0800221	13564.5
5	3.45818e-07	23	0.107706	0
5	3.45818e-07	24	0.144968	0
5	3.45818e-07	25	0.195121	0
5	3.45818e-07	26	0.262625	0
5	3.45818e-07	27	0.353483	0
5	3.45818e-07	28	0.475773	0
5	3.45818e-07	29	0.64037	0
5	3.45818e-07	30	0.861911	0
5	3.45818e-07	31	1.1601	0
5	3.45818e-07	32	1.56144	0
5	3.45818e-07	33	2.10164	0
5	3.45818e-07	34	2.82871	0
5	3.45818e-07	35	3.80733	0
5	3.45818e-07	36	5.12451	0
5	3.45818e-07	37	6.89737	0
5	3.45818e-07	38	9.28357	0
5	3.45818e-07	39	12.4953	0
6	4.33332e-07	0	0.000116015	5.91982e+09
6	4.33332e-07	1	0.000156152	5.55205e+09
6	4.33332e-07	2	0.000210174	5.34686e+09
6	4.33332e-07	3	0.000282885	5.09374e+09
6	4.33332e-07	4	0.000380752	4.49664e+09
6	4.33332e-07	5	0.000512476	4.47634e+09
6	4.33332e-07	6	0.000689771	4.16646e+09
6	4.33332e-07	7	0.000928403	3.74255e+09
6	4.33332e-07	8	0.00124959	3.19832e+09
6	4.33332e-07	9	0.0016819	2.95484e+09
6	4.33332e-07	10	0.00226377	1.39061e+09
6	4.33332e-07	11	0.00304693	7.38284e+08
6	4.33332e-07	12	0.00410104	4.90289e+08
6	4.33332e-07	13	0.00551983	2.36482e+08
6	4.33332e-07	14	0.00742947	1.40382e+08
6	4.33332e-07	15	0.00999975	5.99376e+07
6	4.33332e-07	16	0.0134592	2.02828e+07
