# binIndex1	binCenter1	binIndex2	binCenter2	count
3	1.74867e-07	2	0.000167451	2.84457e+10
3	1.74867e-07	3	0.000205799	2.57046e+10
3	1.74867e-07	4	0.000252928	2.33061e+10
3	1.74867e-07	5	0.000310851	2.1314e+10
3	1.74867e-07	6	0.000382039	1.93386e+10
3	1.74867e-07	7	0.000469529	1.74634e+10
3	1.74867e-07	8	0.000577055	1.53717e+10
3	1.74867e-07	9	0.000709206	1.38005e+10
3	1.74867e-07	10	0.00087162	1.17513e+10
3	1.74867e-07	11	0.00107123	1.04978e+10
3	1.74867e-07	12	0.00131655	8.60496e+09
3	1.74867e-07	13	0.00161805	6.37412e+09
3	1.74867e-07	14	0.0019886	5.51328e+09
3	1.74867e-07	15	0.00244401	4.156e+09
3	1.74867e-07	16	0.0030037	4.12002e+09
3	1.74867e-07	17	0.00369158	2.47747e+09
3	1.74867e-07	18	0.00453698	1.36679e+09
3	1.74867e-07	19	0.00557599	1.04742e+09
3	1.74867e-07	20	0.00685294	7.12781e+08
3	1.74867e-07	21	0.00842232	4.48676e+08
3	1.74867e-07	22	0.0103511	1.75922e+08
3	1.74867e-07	23	0.0127216	2.60537e+07
3	1.74867e-07	24	0.015635	4.19757e+06
3	1.74867e-07	25	0.0192155	0
3	1.74867e-07	26	0.023616	0
3	1.74867e-07	27	0.0290243	0
3	1.74867e-07	28	0.0356711	0
3	1.74867e-07	29	0.0438401	0
3	1.74867e-07	30	0.0538799	0
3	1.74867e-07	31	0.0662189	0
3	1.74867e-07	32	0.0813836	0
3	1.74867e-07	33	0.100021	0
3	1.74867e-07	34	0.122927	0
3	1.74867e-07	35	0.151078	0
3	1.74867e-07	36	0.185676	0
3	1.74867e-07	37	0.228198	0
3	1.74867e-07	38	0.280457	0
3	1.74867e-07	39	0.344684	0
4	2.05142e-07	0	0.000110861	2.74522e+10
4	2.05142e-07	1	0.000136249	2.4906e+10
4	2.05142e-07	2	0.000167451	2.13682e+10
4	2.05142e-07	3	0.000205799	2.1932e+10
4	2.05142e-07	4	0.000252928	1.73127e+10
4	2.05142e-07	5	0.000310851	1.58791e+10
4	2.05142e-07	6	0.000382039	1.5418e+10
4	2.05142e-07	7	0.000469529	1.23847e+10
4	2.05142e-07	8	0.000577055	1.2357e+10
4	2.05142e-07	9	0.000709206	1.1485e+10
4	2.05142e-07	10	0.00087162	1.00764e+10
4	2.05142e-07	11	0.00107123	8.39173e+09
4	2.05142e-07	12	0.00131655	7.34728e+09
4	2.05142e-07	13	0.00161805	6.04153e+09
4	2.05142e-07	14	0.0019886	4.74001e+09
4	2.05142e-07	15	0.00244401	3.69867e+09
4	2.05142e-07	16	0.0030037	3.13852e+09
4	2.05142e-07	17	0.00369158	2.71177e+09
4	2.05142e-07	18	0.00453698	1.45605e+09
4	2.05142e-07	19	0.00557599	9.09983e+08
4	2.05142e-07	20	0.00685294	6.11679e+08
4	2.05142e-07	21	0.00842232	3.77485e+08
4	2.05142e-07	22	0.0103511	1.95877e+08
4	2.05142e-07	23	0.0127216	4.12174e+07
4	2.05142e-07	24	0.015635	4.62668e+06
4	2.05142e-07	25	0.0192155	348205
4	2.05142e-07	26	0.023616	0
4	2.05142e-07	27	0.0290243	0
4	2.05142e-07	28	0.0356711	0
4	2.05142e-07	29	0.0438401	0
4	2.05142e-07	30	0.0538799	0
4	2.05142e-07	31	0.0662189	0
4	2.05142e-07	32	0.0813836	0
4	2.05142e-07	33	0.100021	0
4	2.05142e-07	34	0.122927	0
4	2.05142e-07	35	0.151078	0
4	2.05142e-07	36	0.185676	0
4	2.05142e-07	37	0.228198	0
4	2.05142e-07	38	0.280457	0
4	2.05142e-07	39	0.344684	0
5	2.40657e-07	0	0.000110861	2.25046e+10
5	2.40657e-07	1	0.000136249	1.82979e+10
5	2.40657e-07	2	0.000167451	1.73471e+10
5	2.40657e-07	3	0.000205799	1.47887e+10
5	2.40657e-07	4	0.000252928	1.40899e+10
5	2.40657e-07	5	0.000310851	1.29847e+10
5	2.40657e-07	6	0.000382039	1.12558e+10
5	2.40657e-07	7	0.000469529	1.08038e+10
5	2.40657e-07	8	0.000577055	9.73706e+09
5	2.40657e-07	9	0.000709206	8.62594e+09
5	2.40657e-07	10	0.00087162	8.09482e+09
5	2.40657e-07	11	0.00107123	7.14401e+09
5	2.40657e-07	12	0.00131655	6.19622e+09
5	2.40657e-07	13	0.00161805	5.29542e+09
5	2.40657e-07	14	0.0019886	4.21903e+09
5	2.40657e-07	15	0.00244401	3.26548e+09
5	2.40657e-07	16	0.0030037	2.56417e+09
5	2.40657e-07	17	0.00369158	2.24413e+09
5	2.40657e-07	18	0.00453698	1.76982e+09
5	2.40657e-07	19	0.00557599	8.99976e+08
5	2.40657e-07	20	0.00685294	5.63413e+08
5	2.40657e-07	21	0.00842232	3.23908e+08
5	2.40657e-07	22	0.0103511	1.77668e+08
5	2.40657e-07	23	0.0127216	6.41222e+07
5	2.40657e-07	24	0.015635	6.75577e+06
5	2.40657e-07	25	0.0192155	242369
5	2.40657e-07	26	0.023616	197277
5	2.40657e-07	27	0.0290243	0
5	2.40657e-07	28	0.0356711	0
5	2.40657e-07	29	0.0438401	0
5	2.40657e-07	30	0.0538799	0
5	2.40657e-07	31	0.0662189	0
