# hist_val	vel_center	shear_center
7.769943274851277419e-07 1.270626705476337715e-07 9.659354237872657539e-03
3.768217329654871084e-07 1.270626705476337715e-07 1.207187777101895176e-02
1.550070822887239510e-07 1.270626705476337715e-07 1.508695398570625290e-02
1.945493469732201719e-07 1.270626705476337715e-07 1.885507664045917367e-02
7.723877022797776015e-08 1.270626705476337715e-07 2.356432686507902927e-02
1.990924823982477554e-09 1.270626705476337715e-07 2.944976099501883313e-02
2.043423763531393433e-10 1.270626705476337715e-07 3.680514311439994635e-02
0.000000000000000000e+00 1.270626705476337715e-07 4.599760792288207223e-02
0.000000000000000000e+00 1.270626705476337715e-07 5.748598580504876709e-02
0.000000000000000000e+00 1.270626705476337715e-07 7.184370477522883380e-02
0.000000000000000000e+00 1.270626705476337715e-07 8.978741241968792031e-02
0.000000000000000000e+00 1.270626705476337715e-07 1.122127464646390793e-01
0.000000000000000000e+00 1.270626705476337715e-07 1.402390394132390916e-01
0.000000000000000000e+00 1.270626705476337715e-07 1.752651886276178905e-01
0.000000000000000000e+00 1.270626705476337715e-07 2.190394805412121115e-01
0.000000000000000000e+00 1.270626705476337715e-07 2.737468541896386776e-01
0.000000000000000000e+00 1.270626705476337715e-07 3.421179597101169367e-01
0.000000000000000000e+00 1.270626705476337715e-07 4.275654553280463510e-01
0.000000000000000000e+00 1.270626705476337715e-07 5.343543459243703664e-01
0.000000000000000000e+00 1.270626705476337715e-07 6.678148654202835655e-01
3.315721676253524305e-09 1.490607486692709597e-07 1.117926801369632724e-04
6.134010936665289238e-09 1.490607486692709597e-07 1.397140571795882510e-04
7.112467165573677086e-09 1.490607486692709597e-07 1.746090866563554530e-04
7.789637591860618104e-09 1.490607486692709597e-07 2.182195103229805076e-04
9.905914101403993748e-09 1.490607486692709597e-07 2.727220879364708039e-04
1.259607854586959619e-08 1.490607486692709597e-07 3.408372474960846919e-04
1.802636398275949368e-08 1.490607486692709597e-07 4.259648720046778597e-04
1.664812560310774230e-08 1.490607486692709597e-07 5.323540003768097682e-04
