# binIndex1	binCenter1	binIndex2	binCenter2	count
2	2.97018e-06	0	-0.375439	0
2	2.97018e-06	1	-0.362079	0
2	2.97018e-06	2	-0.348719	0
2	2.97018e-06	3	-0.335359	0
2	2.97018e-06	4	-0.321999	0
2	2.97018e-06	5	-0.308638	0
2	2.97018e-06	6	-0.295278	0
2	2.97018e-06	7	-0.281918	0
2	2.97018e-06	8	-0.268558	0
2	2.97018e-06	9	-0.255198	0
2	2.97018e-06	10	-0.241838	0
2	2.97018e-06	11	-0.228477	0
2	2.97018e-06	12	-0.215117	0
2	2.97018e-06	13	-0.201757	0
2	2.97018e-06	14	-0.188397	0
2	2.97018e-06	15	-0.175037	0
2	2.97018e-06	16	-0.161677	0
2	2.97018e-06	17	-0.148316	0
2	2.97018e-06	18	-0.134956	1.96659e-06
2	2.97018e-06	19	-0.121596	7.59456e-07
2	2.97018e-06	20	-0.108236	1.98302e-06
2	2.97018e-06	21	-0.0948757	1.46871e-06
2	2.97018e-06	22	-0.0815155	3.29743e-06
2	2.97018e-06	23	-0.0681554	6.78145e-06
2	2.97018e-06	24	-0.0547952	0.000122814
2	2.97018e-06	25	-0.041435	0.00271088
2	2.97018e-06	26	-0.0280749	0.0348279
2	2.97018e-06	27	-0.0147147	0.15953
2	2.97018e-06	28	-0.00135454	0.530245
2	2.97018e-06	29	0.0120056	0.219671
2	2.97018e-06	30	0.0253658	0.0474385
2	2.97018e-06	31	0.038726	0.00518539
2	2.97018e-06	32	0.0520861	0.000232637
2	2.97018e-06	33	0.0654463	1.20865e-05
2	2.97018e-06	34	0.0788065	5.40691e-06
2	2.97018e-06	35	0.0921666	1.96083e-06
2	2.97018e-06	36	0.105527	1.22304e-06
2	2.97018e-06	37	0.118887	0
2	2.97018e-06	38	0.132247	0
2	2.97018e-06	39	0.145607	0
2	2.97018e-06	40	0.158967	0
2	2.97018e-06	41	0.172328	0
2	2.97018e-06	42	0.185688	0
2	2.97018e-06	43	0.199048	0
2	2.97018e-06	44	0.212408	0
